2022-08-17 08:25:47.058 | INFO     | db:__init__:23 - Datebase Class Created With <module 'mysql' from '/home/gcpsshkey/.local/lib/python3.6/site-packages/mysql/__init__.py'>
2022-08-17 08:25:58.538 | DEBUG    | main:startScrapperSchdular:38 - startScrapper
2022-08-17 08:44:10.202 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

2022-08-17 08:44:22.618 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

2022-08-17 08:44:32.401 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

2022-08-17 08:44:36.797 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

2022-08-17 08:47:38.834 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

2022-08-17 08:47:50.570 | ERROR    | main:error:70 - 
Error(name, code)->-----------name Bad Request   code 400

